,Title,Published_date,Views,Likes,Favorite,Comments,Month
0,"""समय"" Ki Importance Samjho 🤗",2022-06-23,10482,2213,0,30,Jun
1,Good Luck & Best Wishes 😇 to all JEE MAIN 2022 (1st Attempt) Aspirants 🔥,2022-06-22,105634,11690,0,712,Jun
2,JEE MAIN me kal FOD ke aana hai !!! 🔥🔥,2022-06-22,96287,11092,0,239,Jun
3,Kya PW bhi Badal Jayega? 🥺,2022-06-22,33288,3593,0,78,Jun
4,"""Time"" सबसे कीमती है 🔥",2022-06-22,35527,4687,0,36,Jun
5,KOTA का इतिहास 🔥,2022-06-21,95065,11673,0,95,Jun
6,Apne Bachchon Ko Unchaiyo Par Le Jaana Hai !!! 🙏,2022-06-21,66447,8420,0,121,Jun
7,CHEMISTRY IN EVERYDAY LIFE in 1 Shot | From Zero to Hero | JEE Mains & Advanced,2022-06-20,29825,1546,0,134,Jun
8,JEE MAIN : MAHA REVISION || Complete ORGANIC CHEMISTRY (Part - 2) in 6 Hours 🔥,2022-06-20,70832,3659,0,188,Jun
9,"""PW"" Grand Entry in ""KOTA"" 🔥",2022-06-20,49921,4531,0,63,Jun
10,"दूसरे की ""Gf"" और दूसरे की ""Notes""!! 😂😂",2022-06-20,65827,6912,0,148,Jun
11,कभी सोचा नही था कि KOTA मे अपना Coaching खोलेंगे !!! 🥺,2022-06-19,147612,20435,0,137,Jun
12,JEE MAIN : MAHA REVISION || Complete ORGANIC CHEMISTRY in 6 Hours 🔥,2022-06-19,103504,4950,0,213,Jun
13,Good Morning Bachhon !!! कभी DEMOTIVATE मत होना 🔥,2022-06-19,183919,19419,0,379,Jun
14,JEE MAIN : MAHA REVISION || Complete MATHS in 12 Hours 🔥,2022-06-18,247824,10673,0,420,Jun
15,Kya DEGREE Matter Karti Hai? 🤔,2022-06-18,126723,16422,0,76,Jun
16,"THINK Like an ""IITian"" 🤩",2022-06-18,47278,4112,0,193,Jun
17,Sir Hamari Pitaayi Nahi Ho Paa Rahi !!! 🤭,2022-06-18,111645,15044,0,230,Jun
18,JEE MAIN : MAHA REVISION || Complete INORGANIC CHEMISTRY in 4 Hours 🔥,2022-06-17,179093,8605,0,427,Jun
19,KOTA me REVOLUTION Ab Start Hoga 🔥,2022-06-17,266748,23749,0,270,Jun
